,country_name,distance_miles,distance_kms,time_in_min
0,AFGHANISTAN,626.4,1008.1,90
1,ALBANIA,3325.4,5351.7,414
2,ALGERIA,4238.4,6821.0,528
3,AMERICAN SAMOA,8031.2,12925.0,1000
4,ANDORRA,4239.8,6823.2,528
5,ANGOLA,4964.0,7988.8,618
6,ANGUILLA,8264.0,13299.6,1029
7,ANTIGUA AND BARBUDA,8253.2,13282.3,1028
8,ARGENTINA,9790.4,15756.1,1219
9,ARMENIA,2027.5,3262.9,252
10,ARUBA,8869.5,14274.0,1105
11,AUSTRALIA,6419.8,10331.7,799
12,AUSTRIA,3471.7,5587.2,432
13,AZERBAIJAN,1765.3,2840.9,219
14,BAHAMAS,8371.2,13472.1,1042
15,BAHRAIN,1648.2,2652.5,205
16,BANGLADESH,882.4,1420.1,118
17,BARBADOS,8355.9,13447.5,1041
18,BELARUS,3037.3,4888.1,378
19,BELGIUM,4001.5,6439.8,498
20,BELIZE,9146.8,14720.4,1139
21,BENIN,5086.6,8186.1,633
22,BERMUDA,7551.7,12153.2,940
23,BHUTAN,752.6,1211.1,108
24,BOLIVIA,10072.3,16209.8,1254
25,BOSNIA HERZEGOVINA,3380.2,5439.9,421
26,BOTSWANA,5004.6,8054.1,623
27,BRAZIL,8809.0,14176.8,1097
28,BRITISH VIRGIN ISLANDS,8314.1,13380.2,1035
29,BRUNEI,2955.6,4756.6,368
30,BULGARIA,3132.1,5040.7,390
31,BURKINA FASO,5124.2,8246.6,638
32,BURUNDI,3854.3,6202.8,480
33,CAMBODIA,2126.8,3422.8,264
34,CAMEROON,4636.3,7461.4,577
35,CANADA,7064.4,11369.0,880
36,CAPE VERDE,6355.3,10227.9,791
37,CAYMAN ISLANDS,8846.8,14237.6,1102
38,CENTRAL AFRICAN REPUBLIC,4191.3,6745.2,522
39,CHAD,4136.6,6657.2,515
40,CHILE,10487.6,16878.1,1306
41,CHINA,2349.3,3780.8,292
42,COLOMBIA,9468.2,15237.6,1179
43,COMOROS,3564.3,5736.1,444
44,CONGO,4682.7,7536.1,583
45,CONGO DEM. REP.,4682.7,7536.1,583
46,COOK ISLANDS,8881.8,14293.9,1106
47,COSTA RICA,9529.6,15336.4,1187
48,COTE DIVOIRE,5537.9,8912.3,689
49,CROATIA,3505.3,5641.3,436
50,CUBA,8624.7,13880.2,1074
51,CURACAO,8821.6,14196.9,1099
52,CYPRUS,2600.1,4184.4,323
53,CZECH REPUBLIC,3561.2,5731.2,443
54,DENMARK,3650.8,5875.4,454
55,DJIBOUTI,2498.0,4020.1,311
56,DOMINICA,8337.2,13417.4,1038
57,DOMINICAN REPUBLIC,8519.6,13711.0,1061
58,ECUADOR,9898.0,15929.3,1233
59,EGYPT,2756.8,4436.6,343
60,EL SALVADOR,9406.3,15138.0,1171
61,EQUATORIAL GUINEA,4809.6,7740.3,599
62,ERITREA,2622.8,4221.0,326
63,ESTONIA,3252.2,5234.0,405
64,ETHIOPIA,2844.0,4577.0,354
65,FALKLAND ISLANDS,9617.2,15477.3,1198
66,FAROE ISLANDS,4300.3,6920.7,535
67,FIJI,7462.0,12008.8,929
68,FINLAND,3265.8,5255.7,406
69,FRANCE,4110.2,6614.7,512
70,FRENCH GUIANA,8373.1,13475.1,1043
71,FRENCH POLYNESIA,9400.6,15128.8,1171
72,FRENCH SOUTHERN TERRITORIES,5377.3,8653.9,669
73,GABON,4871.5,7839.9,606
74,GAMBIA,5990.8,9641.3,746
75,GAZA STRIP,2560.1,4120.0,318
76,GEORGIA,2041.9,3286.2,254
77,GERMANY,3607.2,5805.2,449
78,GHANA,5268.3,8478.5,656
79,GIBRALTAR,4697.5,7560.0,585
80,GREECE,3131.3,5039.3,390
81,GREENLAND,5470.0,8803.1,681
82,GRENADA,8505.4,13688.1,1059
83,GUADELOUPE,8304.5,13364.8,1034
84,GUATEMALA,9366.8,15074.5,1167
85,GUINEA,5946.3,9569.7,740
86,GUINEA BISSAU,5989.1,9638.6,746
87,GUYANA,8603.8,13846.5,1071
88,HAITI,8614.3,13863.4,1073
89,HONDURAS,9321.3,15001.1,1161
90,HONG KONG,2341.5,3768.3,291
91,HUNGARY,3340.3,5375.7,416
92,ICELAND,4720.7,7597.2,588
93,INDONESIA,3082.8,4961.3,384
94,IRAN,1589.3,2557.7,197
95,IRAQ,1972.2,3174.0,245
96,IRELAND,4404.7,7088.6,548
97,ISLE OF MAN,4317.3,6948.0,537
98,ISRAEL,2508.4,4036.9,312
99,ITALY,3693.9,5944.8,460
100,JAMAICA,8778.6,14127.8,1093
101,JAPAN,3627.1,5837.2,451
102,JORDAN,2482.5,3995.2,309
103,KAZAKHSTAN,1599.7,2574.5,199
104,KENYA,3375.5,5432.4,420
105,KIRIBATI,6535.8,10518.4,814
106,KOSOVO,3238.8,5212.3,403
107,KUWAIT,1759.7,2832.0,219
108,KYRGYZSTAN,989.7,1592.8,132
109,LAOS,1765.0,2840.5,219
110,LATVIA,3215.1,5174.2,400
111,LEBANON,2486.8,4002.0,309
112,LESOTHO,5161.4,8306.5,643
113,LIBERIA,5870.2,9447.1,731
114,LIBYA,3765.9,6060.6,469
115,LIECHTENSTEIN,3796.6,6110.1,473
116,LITHUANIA,3137.4,5049.1,390
117,LUXEMBOURG,3928.1,6321.7,489
118,MACEDONIA,3231.4,5200.4,402
119,MADAGASCAR,3805.1,6123.7,474
120,MALAWI,4112.4,6618.3,512
121,MALAYSIA,2367.8,3810.7,294
122,MALDIVES,1695.5,2728.6,211
123,MALI,5521.8,8886.5,687
124,MALTA,3654.8,5881.8,455
125,MARSHALL ISLANDS,6235.0,10034.2,776
126,MARTINIQUE,8370.4,13470.8,1042
127,MAURITANIA,5789.6,9317.4,721
128,MAURITIUS,3600.7,5794.8,448
129,MAYOTTE,3540.1,5697.3,441
130,MEXICO,9135.7,14702.4,1138
131,MICRONESIA,5455.7,8780.1,679
132,MOLDOVA,2893.2,4656.1,360
133,MONACO,3929.3,6323.7,489
134,MONGOLIA,2058.2,3312.3,256
135,MONTENEGRO,3338.7,5373.1,415
136,MONTSERRAT,8311.0,13375.3,1035
137,MOROCCO,4815.8,7750.2,600
138,MOZAMBIQUE,4767.6,7672.7,593
139,MYANMAR,1343.2,2161.6,167
140,NAMIBIA,5317.9,8558.3,662
141,NAURU,6194.0,9968.2,771
142,NEPAL,496.4,798.9,73
143,NETHERLANDS,3974.4,6396.2,495
144,NEW CALEDONIA,6882.9,11076.9,857
145,NEW ZEALAND,7836.0,12610.8,976
146,NICARAGUA,9426.1,15169.8,1174
147,NIGER,4885.9,7863.1,608
148,NIGERIA,4699.5,7563.1,585
149,NIUE,8219.6,13228.2,1024
150,NORFOLK ISLAND,7164.3,11529.8,892
151,NORTH KOREA,2838.5,4568.2,353
152,NORWAY,3738.9,6017.1,465
153,OMAN,1222.4,1967.2,163
154,PAKISTAN,425.0,684.0,63
155,PALAU,3995.1,6429.4,497
156,PANAMA,9437.1,15187.5,1175
157,PAPUA NEW GUINEA,5336.2,8587.8,664
158,PARAGUAY,9637.3,15509.8,1200
159,PERU,10423.7,16775.3,1298
160,PHILIPPINES,2965.9,4773.2,369
161,PITCAIRN ISLANDS,10746.6,17294.9,1338
162,POLAND,3278.2,5275.7,408
163,PORTUGAL,4840.7,7790.4,603
164,PUERTO RICO,8382.8,13490.9,1044
165,QATAR,1603.6,2580.8,199
166,REUNION (FRENCH),3679.4,5921.4,458
167,ROMANIA,2992.0,4815.2,372
168,RUSSIA,2707.8,4357.9,337
169,RWANDA,3740.0,6018.9,465
170,SAINT KITTS AND NEVIS,8288.3,13338.7,1032
171,SAINT LUCIA,8366.7,13464.9,1042
172,SAINT PIERRE AND MIQUELON,6470.8,10413.7,806
173,SAINT VINCENT GRENADINES,8437.7,13579.1,1051
174,SAMOA,7949.3,12793.2,990
175,SAN MARINO,3679.1,5920.9,458
176,SAO TOME AND PRINCIPE,5041.9,8114.2,628
177,SAUDI ARABIA,1914.3,3080.8,238
178,SENEGAL,6007.5,9668.2,748
179,SERBIA,3277.8,5275.2,408
180,SEYCHELLES,2688.5,4326.7,334
181,SIERRA LEONE,5962.4,9595.5,742
182,SINGAPORE,2561.8,4122.8,319
183,SLOVAKIA,3432.9,5524.8,427
184,SLOVENIA,3565.7,5738.4,444
185,SOLOMON ISLANDS,6094.3,9807.9,759
186,SOMALIA,2781.5,4476.4,346
187,SOUTH AFRICA,4940.9,7951.6,615
188,SOUTH KOREA,2926.2,4709.3,364
189,SOUTH SUDAN,3420.5,5504.8,426
190,SPAIN,4514.6,7265.5,562
191,SRI LANKA,1515.6,2439.0,188
192,SUDAN,2992.0,4815.1,372
193,SURINAME,8491.0,13665.0,1057
194,ESWATINI,4851.7,7808.0,604
195,SWEDEN,3470.5,5585.3,432
196,SWITZERLAND,3896.4,6270.7,485
197,SYRIA,2437.6,3922.9,303
198,TAIWAN,2722.2,4380.9,339
199,TAJIKISTAN,849.0,1366.3,113
200,TANZANIA,3656.1,5883.9,455
201,THAILAND,1810.1,2913.1,225
202,TIMOR LESTE,4094.3,6589.2,510
203,TOGO,5168.4,8317.8,643
204,TOKELAU,7838.4,12614.6,976
205,TONGA,7939.8,12777.8,989
206,TRINIDAD AND TOBAGO,8579.1,13806.8,1068
207,TUNISIA,3871.3,6230.3,482
208,TURKEY,2640.6,4249.7,328
209,TURKMENISTAN,1262.7,2032.1,157
210,TUVALU,7217.1,11614.8,899
211,UAE,1443.6,2323.3,179
212,UGANDA,3539.2,5695.8,440
213,UK,4178.2,6724.1,520
214,UKRAINE,2858.9,4600.9,356
215,URUGUAY,9671.3,15564.5,1204
216,USA,7520.7,12103.4,937
217,UZBEKISTAN,992.6,1597.4,133
218,VANUATU,6846.5,11018.4,853
219,VATICAN CITY STATE,3695.5,5947.3,460
220,VENEZUELA,8828.1,14207.5,1099
221,VIETNAM,1848.2,2974.4,230
222,WEST BANK,2510.0,4039.4,312
223,WESTERN SAHARA,5368.0,8639.0,668
224,YEMEN,2294.2,3692.1,285
225,ZAMBIA,4447.5,7157.6,554
226,ZIMBABWE,4418.0,7110.1,550
